               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.055581,            0.073485,           0.0012228,              0.8483,             0.75569,             0.82017,             0.29726,            0.045826,            0.049091,          0.00072632,            0.006436,            0.006436,            0.006436
                 110,            0.054932,            0.084228,           0.0010498,             0.81427,             0.74008,              0.8014,             0.26642,            0.048963,            0.049043,          0.00071283,            0.006403,            0.006403,            0.006403
                 111,            0.054764,            0.067331,          0.00085753,             0.85089,             0.75345,             0.81678,             0.28913,            0.043984,            0.048862,          0.00069506,             0.00637,             0.00637,             0.00637
                 112,            0.054458,            0.084094,          0.00094683,             0.80618,              0.7685,             0.80287,             0.27389,            0.048524,            0.048716,          0.00070523,            0.006337,            0.006337,            0.006337
                 113,            0.058396,            0.077943,          0.00092851,             0.80571,             0.74098,             0.77786,             0.26254,            0.046939,            0.050177,          0.00065726,            0.006304,            0.006304,            0.006304
                 114,            0.057209,            0.064898,           0.0012096,             0.78851,             0.66784,             0.71294,             0.22027,            0.059985,            0.048839,           0.0007878,            0.006271,            0.006271,            0.006271
                 115,            0.053722,             0.07727,           0.0010058,             0.72362,             0.67996,             0.69607,             0.20139,            0.055358,            0.051501,          0.00093228,            0.006238,            0.006238,            0.006238
                 116,            0.054548,            0.091868,            0.001271,             0.79242,             0.73311,             0.76629,             0.26566,            0.045204,            0.049745,          0.00080438,            0.006205,            0.006205,            0.006205
                 117,            0.057539,            0.074512,           0.0010171,             0.78678,             0.74705,             0.78379,             0.27259,            0.048437,            0.049019,          0.00074933,            0.006172,            0.006172,            0.006172
                 118,            0.056608,            0.075268,           0.0010097,             0.84591,             0.69575,             0.76023,             0.23789,            0.049553,             0.04784,          0.00067307,            0.006139,            0.006139,            0.006139
                 119,            0.060662,            0.069234,           0.0014442,             0.84203,             0.77525,             0.82898,             0.30411,             0.04369,             0.04953,          0.00076194,            0.006106,            0.006106,            0.006106
                 120,            0.051423,            0.073433,           0.0011544,             0.87504,             0.76974,             0.82951,              0.3051,              0.0446,            0.048778,          0.00078994,            0.006073,            0.006073,            0.006073
                 121,            0.053626,            0.062771,           0.0011012,             0.81565,             0.73316,             0.77605,             0.27393,            0.044948,             0.05106,          0.00069179,             0.00604,             0.00604,             0.00604
                 122,            0.055522,            0.078732,          0.00076159,             0.79606,             0.69756,             0.73091,             0.22669,            0.055337,            0.052144,          0.00081278,            0.006007,            0.006007,            0.006007
                 123,            0.053473,            0.071933,           0.0017404,             0.80005,             0.73719,             0.76294,              0.2522,            0.052961,            0.049361,          0.00076141,            0.005974,            0.005974,            0.005974
                 124,            0.046189,            0.067278,          0.00088795,             0.87301,             0.79446,             0.84829,             0.29613,            0.044149,            0.047339,          0.00066927,            0.005941,            0.005941,            0.005941
                 125,            0.056422,            0.058665,          0.00085327,             0.80607,             0.68387,             0.73674,             0.21857,             0.05004,            0.046759,          0.00075392,            0.005908,            0.005908,            0.005908
                 126,            0.052311,            0.078659,          0.00085403,             0.84033,             0.78932,             0.82025,             0.29555,            0.040116,            0.048328,          0.00073454,            0.005875,            0.005875,            0.005875
                 127,             0.05737,            0.068115,           0.0012227,             0.87829,             0.79717,              0.8556,             0.32409,            0.040312,            0.047383,          0.00070418,            0.005842,            0.005842,            0.005842
                 128,            0.053266,            0.080542,          0.00084577,             0.83258,             0.69143,             0.75544,             0.22892,            0.053524,            0.046566,          0.00076199,            0.005809,            0.005809,            0.005809
                 129,            0.062989,            0.067252,           0.0011194,             0.83539,             0.77035,             0.80411,             0.27591,            0.044859,            0.046573,          0.00077477,            0.005776,            0.005776,            0.005776
                 130,            0.055468,            0.071557,            0.001169,             0.84641,             0.74472,             0.80518,              0.2656,            0.046472,            0.048602,          0.00093637,            0.005743,            0.005743,            0.005743
                 131,             0.05235,            0.076861,           0.0010996,             0.84412,             0.81206,             0.84822,             0.31465,            0.042597,             0.04743,          0.00099723,             0.00571,             0.00571,             0.00571
                 132,            0.051433,             0.05652,           0.0012531,             0.85364,             0.81143,             0.85466,              0.3306,            0.041531,            0.046191,          0.00085817,            0.005677,            0.005677,            0.005677
                 133,            0.055706,            0.070487,          0.00097675,             0.74863,             0.69203,             0.70807,              0.2221,            0.050871,              0.0483,          0.00091887,            0.005644,            0.005644,            0.005644
                 134,            0.052625,            0.080821,           0.0011188,             0.82294,               0.771,             0.81501,             0.29925,            0.044915,            0.050481,          0.00089053,            0.005611,            0.005611,            0.005611
                 135,            0.050846,            0.069179,          0.00099106,             0.81434,             0.76329,             0.80194,             0.29485,            0.044984,            0.050241,          0.00086695,            0.005578,            0.005578,            0.005578
                 136,            0.049528,            0.064304,           0.0009605,             0.81282,             0.73822,             0.78532,             0.28065,            0.046066,            0.048307,          0.00076779,            0.005545,            0.005545,            0.005545
                 137,            0.050265,             0.07584,          0.00083191,             0.86158,              0.8009,             0.85369,             0.33043,            0.042146,            0.048422,          0.00066644,            0.005512,            0.005512,            0.005512
